ts,open,high,low,close,volume
1783752120000,64185.0,64185.1,64180.0,64180.1,8.7556
1783752180000,64180.0,64180.1,64180.0,64180.0,1.9019
1783752240000,64180.1,64180.1,64179.6,64179.7,3.6461
1783752300000,64179.6,64179.7,64170.0,64179.7,18.9713
1783752360000,64179.7,64190.4,64179.6,64190.3,8.3897
1783752420000,64190.3,64206.3,64190.3,64206.3,4.3936
1783752480000,64206.3,64213.0,64197.0,64204.7,9.7013
1783752540000,64204.6,64204.7,64167.4,64170.7,46.3423
1783752600000,64170.7,64183.9,64170.7,64175.5,9.9702
1783752660000,64175.5,64175.6,64163.9,64163.9,4.9889
1783752720000,64163.9,64164.0,64161.2,64161.4,6.564
1783752780000,64161.4,64165.5,64161.4,64165.5,3.7071
1783752840000,64165.4,64219.9,64165.4,64198.4,113.0875
1783752900000,64198.4,64198.4,64187.9,64187.9,4.6951
1783752960000,64188.0,64188.0,64185.6,64185.6,2.8849
1783753020000,64185.7,64189.6,64185.6,64189.5,1.8724
1783753080000,64189.6,64189.6,64189.5,64189.6,1.7617
1783753140000,64189.6,64189.6,64183.9,64183.9,2.173
1783753200000,64183.9,64189.5,64170.0,64170.1,83.9759
1783753260000,64170.0,64187.8,64170.0,64187.8,4.2142
1783753320000,64187.8,64191.2,64187.7,64191.2,24.6494
1783753380000,64191.2,64191.2,64191.1,64191.2,2.4903
1783753440000,64191.2,64191.2,64172.8,64172.8,15.4967
1783753500000,64172.9,64172.9,64163.6,64163.7,3.2833
1783753560000,64163.6,64163.7,64161.2,64163.2,3.8545
1783753620000,64163.2,64163.2,64145.5,64145.5,15.5573
1783753680000,64145.5,64145.6,64145.5,64145.5,3.2328
1783753740000,64145.5,64171.1,64135.0,64171.0,69.7116
1783753800000,64171.1,64176.7,64167.2,64167.2,15.2785
1783753860000,64167.3,64180.0,64167.2,64176.6,7.1495
1783753920000,64176.7,64176.7,64176.6,64176.6,2.2958
1783753980000,64176.7,64179.0,64168.5,64179.0,12.3583
1783754040000,64178.9,64179.0,64178.9,64178.9,6.2725
1783754100000,64179.0,64186.8,64178.9,64186.7,13.1785
1783754160000,64186.8,64189.7,64171.2,64171.3,17.5582
1783754220000,64171.2,64171.3,64159.5,64159.8,4.1454
1783754280000,64159.9,64170.1,64159.9,64170.0,6.5161
1783754340000,64170.0,64188.6,64170.0,64188.6,5.9544
1783754400000,64188.6,64197.9,64188.5,64188.8,15.9292
1783754460000,64188.7,64188.8,64173.6,64173.6,2.9253
1783754520000,64173.7,64180.7,64173.6,64180.6,2.5229
1783754580000,64180.7,64184.1,64180.6,64184.1,3.3808
1783754640000,64184.1,64184.1,64184.0,64184.1,1.5842
1783754700000,64184.1,64191.9,64184.0,64191.9,4.7093
1783754760000,64191.9,64210.4,64191.9,64206.4,9.9059
1783754820000,64206.3,64206.3,64193.8,64196.1,7.177
1783754880000,64196.1,64223.3,64196.0,64223.3,12.0539
1783754940000,64223.4,64225.0,64180.7,64186.7,108.7007
1783755000000,64186.6,64203.9,64186.6,64203.8,9.2415
1783755060000,64203.8,64203.8,64199.7,64199.8,4.3592
1783755120000,64199.8,64199.8,64199.7,64199.8,2.5383
1783755180000,64199.8,64199.8,64199.7,64199.7,10.7521
1783755240000,64199.8,64199.8,64160.2,64160.2,53.4352
1783755300000,64160.3,64170.5,64160.3,64167.1,19.4194
1783755360000,64167.1,64170.0,64167.0,64170.0,2.4889
1783755420000,64170.0,64170.0,64169.9,64170.0,3.4228
1783755480000,64170.0,64183.6,64169.9,64183.6,9.5198
1783755540000,64183.6,64183.6,64183.5,64183.5,4.2641
1783755600000,64183.6,64193.5,64183.5,64193.5,7.5734
1783755660000,64193.5,64199.0,64193.4,64199.0,6.9115
1783755720000,64199.0,64200.0,64166.2,64166.3,70.2055
1783755780000,64166.3,64166.3,64157.3,64157.4,7.2991
1783755840000,64157.4,64157.4,64141.9,64141.9,13.0833
1783755900000,64142.0,64142.0,64130.8,64130.9,18.3189
1783755960000,64130.9,64143.3,64130.7,64135.9,34.1085
1783756020000,64135.9,64139.3,64132.7,64139.3,7.4182
1783756080000,64139.3,64139.3,64139.2,64139.2,2.1083
1783756140000,64139.2,64149.5,64139.2,64149.4,5.9938
1783756200000,64149.5,64149.5,64131.3,64131.4,10.8061
1783756260000,64131.4,64131.4,64131.3,64131.4,3.9824
1783756320000,64131.3,64137.5,64131.3,64137.5,8.8668
1783756380000,64137.4,64137.5,64131.3,64131.4,8.58
1783756440000,64131.3,64131.4,64120.9,64121.0,20.3058
1783756500000,64120.9,64123.1,64120.9,64123.0,18.3057
1783756560000,64123.0,64131.2,64123.0,64131.1,4.0273
1783756620000,64131.2,64136.9,64131.1,64136.6,9.8935
1783756680000,64136.7,64140.3,64136.6,64140.3,4.7786
1783756740000,64140.3,64140.3,64132.3,64132.4,7.8189
1783756800000,64132.4,64132.4,64129.1,64132.0,7.5233
1783756860000,64132.0,64132.1,64132.0,64132.1,3.7996
1783756920000,64132.1,64132.1,64122.1,64122.2,3.2206
1783756980000,64122.2,64154.4,64122.2,64140.0,22.7024
1783757040000,64140.1,64140.1,64131.8,64133.6,25.1002
1783757100000,64133.7,64137.8,64133.6,64137.7,1.9607
1783757160000,64137.7,64141.2,64132.0,64132.1,12.918
1783757220000,64132.1,64132.1,64132.0,64132.0,1.4964
1783757280000,64132.1,64160.1,64132.0,64156.3,19.1613
1783757340000,64156.3,64156.3,64156.0,64156.0,3.18
1783757400000,64156.0,64218.4,64156.0,64211.5,147.6349
1783757460000,64211.5,64218.2,64206.0,64218.1,28.3808
1783757520000,64218.1,64218.2,64210.9,64217.7,20.3016
1783757580000,64217.6,64217.7,64211.2,64215.0,13.1328
1783757640000,64215.0,64217.5,64204.7,64204.7,12.8788
1783757700000,64204.7,64212.8,64204.0,64210.1,5.7254
1783757760000,64210.0,64210.1,64199.5,64199.6,9.3313
1783757820000,64199.5,64206.1,64197.8,64206.0,6.3008
1783757880000,64206.1,64214.4,64201.4,64211.0,9.2695
1783757940000,64211.0,64218.4,64210.9,64218.3,5.4956
1783758000000,64218.4,64240.8,64218.3,64233.6,48.156
1783758060000,64233.6,64233.6,64216.4,64223.3,9.7478
