ts,open_interest,oi_volume,datetime_utc
1783622700000,279744095.8666,1338462.2249,2026-07-09 18:45:00+00:00
1783623000000,279745817.4042,884270.7208,2026-07-09 18:50:00+00:00
1783623300000,279438446.9866,974084.1737,2026-07-09 18:55:00+00:00
1783623600000,279311873.7463,933249.1447,2026-07-09 19:00:00+00:00
1783623900000,279376028.8278,754094.0628,2026-07-09 19:05:00+00:00
1783624200000,279321097.2101,932973.9375,2026-07-09 19:10:00+00:00
1783624500000,279401754.6995,390243.1331,2026-07-09 19:15:00+00:00
1783624800000,279081316.9994,1583358.2432,2026-07-09 19:20:00+00:00
1783625100000,279143563.3354,654068.9663,2026-07-09 19:25:00+00:00
1783625400000,279068655.8407,642705.2971,2026-07-09 19:30:00+00:00
1783625700000,279096073.5286,548774.8993,2026-07-09 19:35:00+00:00
1783626000000,279215922.0113,846092.4964,2026-07-09 19:40:00+00:00
1783626300000,279361782.7763,787851.7945,2026-07-09 19:45:00+00:00
1783626600000,279404743.3091,903387.1943,2026-07-09 19:50:00+00:00
1783626900000,279196609.4648,665779.3323,2026-07-09 19:55:00+00:00
1783627200000,279117125.4265,534867.2646,2026-07-09 20:00:00+00:00
1783627500000,279070821.8076,761571.5908,2026-07-09 20:05:00+00:00
1783627800000,279112476.5359,509443.1944,2026-07-09 20:10:00+00:00
1783628100000,279104429.79,450404.5826,2026-07-09 20:15:00+00:00
1783628400000,278799599.2695,894037.3445,2026-07-09 20:20:00+00:00
1783628700000,278876760.1518,312411.7928,2026-07-09 20:25:00+00:00
1783629000000,278830866.3978,449661.7982,2026-07-09 20:30:00+00:00
1783629300000,278875958.4534,567009.653,2026-07-09 20:35:00+00:00
1783629600000,278863826.6839,201578.3146,2026-07-09 20:40:00+00:00
1783629900000,278981241.828,478737.1141,2026-07-09 20:45:00+00:00
1783630200000,278974421.4818,133655.2327,2026-07-09 20:50:00+00:00
1783630500000,278400411.2765,1739174.3258,2026-07-09 20:55:00+00:00
1783630800000,278450044.9953,863450.8851,2026-07-09 21:00:00+00:00
1783631100000,278397760.6691,457013.8758,2026-07-09 21:05:00+00:00
1783631400000,278355731.3429,614207.5947,2026-07-09 21:10:00+00:00
1783631700000,278280130.3751,902690.5487,2026-07-09 21:15:00+00:00
1783632000000,278257501.8654,184058.1553,2026-07-09 21:20:00+00:00
1783632300000,278266134.1696,157887.5528,2026-07-09 21:25:00+00:00
1783632600000,278263283.0197,481603.5474,2026-07-09 21:30:00+00:00
1783632900000,278192887.6841,370285.7357,2026-07-09 21:35:00+00:00
1783633200000,278095241.0963,397856.9139,2026-07-09 21:40:00+00:00
1783633500000,278126850.2796,813368.2712,2026-07-09 21:45:00+00:00
1783633800000,278013934.6215,410132.9012,2026-07-09 21:50:00+00:00
1783634100000,277938503.5956,371549.5149,2026-07-09 21:55:00+00:00
1783634400000,277964680.6802,531919.8485,2026-07-09 22:00:00+00:00
1783634700000,278209594.3145,1681906.3571,2026-07-09 22:05:00+00:00
1783635000000,278164502.2022,386597.2636,2026-07-09 22:10:00+00:00
1783635300000,278194377.2512,223530.096,2026-07-09 22:15:00+00:00
1783635600000,278183952.3419,877368.8984,2026-07-09 22:20:00+00:00
1783635900000,278170238.581,637953.8467,2026-07-09 22:25:00+00:00
1783636200000,278124627.1312,206970.891,2026-07-09 22:30:00+00:00
