ts,open_interest,oi_volume,datetime_utc
1783615800000,1471389297.2961,12605344.4518,2026-07-09 16:50:00+00:00
1783616100000,1472882034.4445,12737852.0189,2026-07-09 16:55:00+00:00
1783616400000,1473665154.3722,5008427.9377,2026-07-09 17:00:00+00:00
1783616700000,1472530933.0367,14519100.8633,2026-07-09 17:05:00+00:00
1783617000000,1471664745.1699,10369419.2536,2026-07-09 17:10:00+00:00
1783617300000,1471474713.8532,7211485.8212,2026-07-09 17:15:00+00:00
1783617600000,1470400790.1456,16486481.9173,2026-07-09 17:20:00+00:00
1783617900000,1479535185.2643,15740465.6498,2026-07-09 17:25:00+00:00
1783618200000,1479787786.5091,5260584.9281,2026-07-09 17:30:00+00:00
1783618500000,1487912607.6501,26453378.1822,2026-07-09 17:35:00+00:00
1783618800000,1487678415.7243,65301105.324,2026-07-09 17:40:00+00:00
1783619100000,1487261805.3744,22530423.3523,2026-07-09 17:45:00+00:00
1783619400000,1487832445.5807,18694697.1084,2026-07-09 17:50:00+00:00
1783619700000,1487952569.4962,7400701.9382,2026-07-09 17:55:00+00:00
1783620000000,1488804607.5407,14483400.0595,2026-07-09 18:00:00+00:00
1783620300000,1489337330.3087,18990420.1581,2026-07-09 18:05:00+00:00
1783620600000,1481437175.2833,65445511.8426,2026-07-09 18:10:00+00:00
1783620900000,1485440324.9746,23242888.4566,2026-07-09 18:15:00+00:00
1783621200000,1490576439.7119,34333992.3236,2026-07-09 18:20:00+00:00
1783621500000,1491011632.1335,16216073.7674,2026-07-09 18:25:00+00:00
1783621800000,1486666898.8965,54502162.1187,2026-07-09 18:30:00+00:00
1783622100000,1486182211.3587,13181868.1525,2026-07-09 18:35:00+00:00
1783622400000,1487804838.2052,14892881.2157,2026-07-09 18:40:00+00:00
1783622700000,1488330745.1205,12135517.6138,2026-07-09 18:45:00+00:00
1783623000000,1488360649.8013,5969541.6716,2026-07-09 18:50:00+00:00
1783623300000,1485497347.6467,19249645.7381,2026-07-09 18:55:00+00:00
1783623600000,1486942865.4924,8746181.6431,2026-07-09 19:00:00+00:00
1783623900000,1486411704.1221,9911580.5365,2026-07-09 19:05:00+00:00
1783624200000,1487263607.8436,6159557.648,2026-07-09 19:10:00+00:00
1783624500000,1486594758.1474,4794483.339,2026-07-09 19:15:00+00:00
1783624800000,1484480507.7163,16891930.0408,2026-07-09 19:20:00+00:00
1783625100000,1484601369.1238,4592668.7237,2026-07-09 19:25:00+00:00
1783625400000,1484570757.917,6299141.3088,2026-07-09 19:30:00+00:00
1783625700000,1484218943.9771,3676199.2219,2026-07-09 19:35:00+00:00
1783626000000,1485348857.3248,7735360.2205,2026-07-09 19:40:00+00:00
1783626300000,1484623254.6616,5946223.508,2026-07-09 19:45:00+00:00
1783626600000,1485141152.0677,10489751.2986,2026-07-09 19:50:00+00:00
1783626900000,1484203091.5439,10972983.099,2026-07-09 19:55:00+00:00
1783627200000,1482206521.7689,7519703.5004,2026-07-09 20:00:00+00:00
1783627500000,1480974129.7148,18722025.9673,2026-07-09 20:05:00+00:00
1783627800000,1481971988.1849,7799933.7009,2026-07-09 20:10:00+00:00
1783628100000,1475233039.8303,13176667.5029,2026-07-09 20:15:00+00:00
1783628400000,1474899949.7095,15497773.3618,2026-07-09 20:20:00+00:00
1783628700000,1475240624.9415,3240084.0293,2026-07-09 20:25:00+00:00
1783629000000,1475037866.012,3260255.8467,2026-07-09 20:30:00+00:00
1783629300000,1474922796.982,2366282.3447,2026-07-09 20:35:00+00:00
1783629600000,1476044223.6728,4805257.4255,2026-07-09 20:40:00+00:00
1783629900000,1475840361.7787,2286216.7781,2026-07-09 20:45:00+00:00
1783630200000,1475426119.1184,3282024.5472,2026-07-09 20:50:00+00:00
1783630500000,1475516547.4988,3271225.4267,2026-07-09 20:55:00+00:00
1783630800000,1475508550.7904,1567588.4461,2026-07-09 21:00:00+00:00
1783631100000,1474612790.1138,4999523.5976,2026-07-09 21:05:00+00:00
1783631400000,1473159603.5262,3857732.9162,2026-07-09 21:10:00+00:00
1783631700000,1470760887.0068,11923544.929,2026-07-09 21:15:00+00:00
1783632000000,1471009032.256,1892381.0272,2026-07-09 21:20:00+00:00
1783632300000,1470832982.7699,2022251.1143,2026-07-09 21:25:00+00:00
1783632600000,1470400696.632,4132075.106,2026-07-09 21:30:00+00:00
1783632900000,1469694178.1323,2381656.2024,2026-07-09 21:35:00+00:00
1783633200000,1469625971.2518,3041273.7298,2026-07-09 21:40:00+00:00
1783633500000,1469225804.6081,7819611.3387,2026-07-09 21:45:00+00:00
1783633800000,1469674470.943,3060052.2038,2026-07-09 21:50:00+00:00
1783634100000,1469072705.4352,4262767.8363,2026-07-09 21:55:00+00:00
1783634400000,1468892078.4358,2191123.7468,2026-07-09 22:00:00+00:00
1783634700000,1469481641.9858,11243730.7483,2026-07-09 22:05:00+00:00
1783635000000,1469930110.7362,7607788.5093,2026-07-09 22:10:00+00:00
1783635300000,1469680031.4591,1533486.9391,2026-07-09 22:15:00+00:00
1783635600000,1469351206.2637,4600583.4197,2026-07-09 22:20:00+00:00
1783635900000,1469025533.0382,3248317.5615,2026-07-09 22:25:00+00:00
1783636200000,1468869620.74,2307361.7653,2026-07-09 22:30:00+00:00
1783636500000,1469334994.0294,4675193.5319,2026-07-09 22:35:00+00:00
1783636800000,1468768208.6509,3368877.9646,2026-07-09 22:40:00+00:00
1783637100000,1468198988.0237,6391658.991,2026-07-09 22:45:00+00:00
1783637400000,1468086719.6557,3760026.8008,2026-07-09 22:50:00+00:00
1783637700000,1469129212.9461,5064257.691,2026-07-09 22:55:00+00:00
1783638000000,1468783056.179,2329520.3275,2026-07-09 23:00:00+00:00
1783638300000,1468397929.1306,3990310.1386,2026-07-09 23:05:00+00:00
1783638600000,1468841182.3869,3019274.1761,2026-07-09 23:10:00+00:00
1783638900000,1466327217.054,6684145.3724,2026-07-09 23:15:00+00:00
1783639200000,1462895026.5052,24655465.5217,2026-07-09 23:20:00+00:00
1783639500000,1463456042.4841,19960468.7687,2026-07-09 23:25:00+00:00
1783639800000,1464103996.7651,9828154.5773,2026-07-09 23:30:00+00:00
1783640100000,1465544870.4891,5959744.3744,2026-07-09 23:35:00+00:00
1783640400000,1466729584.5733,4305327.7484,2026-07-09 23:40:00+00:00
1783640700000,1466975892.3827,3456782.6408,2026-07-09 23:45:00+00:00
1783641000000,1466890663.9003,2579671.0104,2026-07-09 23:50:00+00:00
1783641300000,1466865621.3211,2372449.8245,2026-07-09 23:55:00+00:00
1783641600000,1466865621.3211,3458909.8678,2026-07-10 00:00:00+00:00
1783641900000,1464606507.4501,11405071.1916,2026-07-10 00:05:00+00:00
1783642200000,1465041844.131,6052554.9853,2026-07-10 00:10:00+00:00
1783642500000,1464492338.7814,9283875.9767,2026-07-10 00:15:00+00:00
1783642800000,1465257552.9934,4872303.7542,2026-07-10 00:20:00+00:00
1783643100000,1459948243.6103,25938522.8185,2026-07-10 00:25:00+00:00
1783643400000,1459679939.2581,11181043.9188,2026-07-10 00:30:00+00:00
1783643700000,1457324398.5576,33664838.231,2026-07-10 00:35:00+00:00
1783644000000,1458413925.1692,14789596.0268,2026-07-10 00:40:00+00:00
1783644300000,1459575895.295,16361448.0242,2026-07-10 00:45:00+00:00
1783644600000,1461186314.3346,8630704.5971,2026-07-10 00:50:00+00:00
1783644900000,1458571017.8608,18717308.5855,2026-07-10 00:55:00+00:00
1783645200000,1460525444.6396,17800842.4141,2026-07-10 01:00:00+00:00
1783645500000,1461233646.2093,13367432.7384,2026-07-10 01:05:00+00:00
1783645800000,1461686452.8634,6578867.6574,2026-07-10 01:10:00+00:00
1783646100000,1461187987.6118,8933789.3939,2026-07-10 01:15:00+00:00
1783646400000,1460264323.2371,31856856.374,2026-07-10 01:20:00+00:00
1783646700000,1460058876.1705,30587437.6445,2026-07-10 01:25:00+00:00
1783647000000,1462366300.5188,14599937.0141,2026-07-10 01:30:00+00:00
