ts,best_bid,best_ask,mid,spread_pct,bid_usd,ask_usd,imbalance,microprice,bids_json,asks_json
1783785182200,1810.28,1810.29,1810.2849999999999,0.0005523992078590336,2786835.6771,9936663.5255,-0.5619387980107673,1810.282154674469,"[[1810.28, 1307.84], [1810.26, 0.01], [1810.25, 11.0], [1810.24, 0.06], [1810.23, 10.2], [1810.22, 92.09], [1810.21, 0.05], [1810.2, 11.01], [1810.19, 0.06], [1810.18, 107.14]]","[[1810.29, 4761.94], [1810.3, 0.01], [1810.32, 0.04], [1810.33, 0.03], [1810.34, 8.32], [1810.35, 299.02], [1810.36, 107.64], [1810.37, 1.05], [1810.38, 294.24], [1810.39, 16.67]]"
1783785184900,1810.28,1810.29,1810.2849999999999,0.0005523992078590336,2259428.9648,7219048.400199999,-0.5232506492776754,1810.2822529986315,"[[1810.28, 1025.77], [1810.26, 0.01], [1810.25, 0.21], [1810.24, 1.58], [1810.23, 10.2], [1810.22, 92.09], [1810.21, 0.05], [1810.2, 11.01], [1810.19, 0.06], [1810.18, 107.14]]","[[1810.29, 3527.14], [1810.3, 10.8], [1810.31, 8.29], [1810.32, 0.04], [1810.33, 0.03], [1810.34, 0.04], [1810.35, 307.31], [1810.36, 120.04], [1810.37, 13.99], [1810.38, 0.09]]"
1783785187650,1810.6,1810.61,1810.605,0.0005523015787535605,9536194.854899999,1921911.4308,0.6645324484031723,1810.607896563474,"[[1810.6, 3754.2], [1810.59, 9.01], [1810.58, 159.28], [1810.57, 4.3], [1810.56, 0.04], [1810.55, 17.73], [1810.54, 16.89], [1810.53, 513.24], [1810.52, 393.15], [1810.51, 399.09]]","[[1810.61, 1000.02], [1810.62, 0.46], [1810.63, 0.01], [1810.64, 19.29], [1810.65, 21.77], [1810.66, 0.03], [1810.67, 0.03], [1810.68, 0.35], [1810.69, 0.39], [1810.7, 19.12]]"
1783785190500,1810.6,1810.61,1810.605,0.0005523015787535605,8186773.910599999,721587.8029,0.8379976417422558,1810.6090675413807,"[[1810.6, 3022.81], [1810.59, 0.01], [1810.58, 159.28], [1810.57, 21.4], [1810.56, 0.04], [1810.55, 10.82], [1810.54, 16.89], [1810.53, 513.24], [1810.52, 378.06], [1810.51, 399.09]]","[[1810.61, 310.85], [1810.62, 0.46], [1810.64, 20.1], [1810.65, 21.77], [1810.66, 1.55], [1810.67, 8.32], [1810.68, 0.35], [1810.69, 0.09], [1810.7, 19.12], [1810.71, 15.92]]"
1783785193350,1810.81,1810.82,1810.815,0.0005522375284052155,4517514.4551,3184770.066,0.17303234974623663,1810.8172637209657,"[[1810.81, 1789.73], [1810.8, 10.98], [1810.79, 221.88], [1810.78, 0.03], [1810.77, 0.03], [1810.76, 0.06], [1810.75, 112.96], [1810.74, 11.69], [1810.73, 340.67], [1810.72, 6.74]]","[[1810.82, 674.2], [1810.83, 0.14], [1810.84, 6.29], [1810.85, 81.7], [1810.86, 120.03], [1810.87, 0.03], [1810.88, 0.04], [1810.89, 133.38], [1810.9, 264.8], [1810.91, 478.09]]"
1783785196150,1810.95,1810.96,1810.955,0.0005521948364255823,3051630.5152000003,3383783.2854000004,-0.051613273130786425,1810.9552283078287,"[[1810.95, 1651.91], [1810.94, 0.01], [1810.93, 1.01], [1810.92, 19.13], [1810.91, 0.03], [1810.9, 10.85], [1810.89, 0.04], [1810.88, 0.04], [1810.87, 0.05], [1810.86, 2.03]]","[[1810.96, 1507.64], [1810.98, 7.61], [1810.99, 87.63], [1811.0, 51.83], [1811.01, 0.03], [1811.02, 0.04], [1811.03, 76.99], [1811.04, 0.05], [1811.05, 128.35], [1811.06, 8.32]]"
1783785198850,1811.06,1811.07,1811.065,0.000552161297357682,5474979.5587,2436167.5777,0.3841177428009289,1811.0686278967394,"[[1811.06, 2626.28], [1811.05, 10.8], [1811.04, 0.02], [1811.03, 220.51], [1811.02, 0.03], [1811.01, 0.03], [1811.0, 110.82], [1810.99, 17.86], [1810.98, 11.57], [1810.97, 25.17]]","[[1811.07, 417.66], [1811.08, 10.02], [1811.09, 140.12], [1811.1, 101.28], [1811.11, 0.33], [1811.12, 68.51], [1811.13, 0.04], [1811.14, 63.09], [1811.15, 166.54], [1811.16, 377.53]]"
1783785204600,1811.26,1811.27,1811.2649999999999,0.0005521003276710425,7705456.305,2173712.6040999996,0.5599401884711723,1811.268512494763,"[[1811.26, 3637.04], [1811.25, 130.63], [1811.23, 0.03], [1811.22, 0.03], [1811.21, 100.03], [1811.2, 10.84], [1811.19, 0.04], [1811.18, 115.42], [1811.17, 0.05], [1811.16, 260.11]]","[[1811.27, 635.55], [1811.28, 103.71], [1811.29, 1.04], [1811.3, 198.48], [1811.31, 0.04], [1811.32, 9.33], [1811.33, 102.3], [1811.34, 0.05], [1811.35, 149.52], [1811.36, 0.07]]"
1783785207400,1811.29,1811.3,1811.295,0.0005520911833793449,5138304.483399999,1513329.1147,0.5449752027434964,1811.29782676723,"[[1811.29, 2591.2], [1811.28, 0.01], [1811.27, 1.06], [1811.26, 17.62], [1811.25, 10.82], [1811.24, 0.03], [1811.23, 0.03], [1811.22, 105.19], [1811.21, 100.03], [1811.2, 10.84]]","[[1811.3, 719.49], [1811.31, 0.01], [1811.32, 9.32], [1811.33, 3.4], [1811.34, 8.33], [1811.35, 67.95], [1811.36, 0.07], [1811.37, 18.38], [1811.38, 0.09], [1811.39, 8.45]]"
1783785210200,1811.49,1811.5,1811.495,0.0005520302291748476,7298695.6675,1991855.1766,0.5712083793470792,1811.4978033442756,"[[1811.49, 3748.75], [1811.48, 0.03], [1811.47, 34.07], [1811.46, 73.02], [1811.45, 19.11], [1811.44, 0.04], [1811.43, 0.04], [1811.42, 120.81], [1811.41, 16.9], [1811.4, 16.35]]","[[1811.5, 1055.28], [1811.51, 0.06], [1811.52, 0.85], [1811.53, 0.11], [1811.54, 0.64], [1811.55, 40.36], [1811.56, 0.43], [1811.57, 0.08], [1811.58, 1.68], [1811.59, 0.07]]"
