ts,open_interest,oi_volume,datetime_utc
1783680600000,2570072897.8021,15056472.2038,2026-07-10 10:50:00+00:00
1783680900000,2570357098.9663,12847431.2062,2026-07-10 10:55:00+00:00
1783681200000,2570122941.1236,6252023.1828,2026-07-10 11:00:00+00:00
1783681500000,2570321483.3719,4990312.4835,2026-07-10 11:05:00+00:00
1783681800000,2570044826.3929,8153760.4426,2026-07-10 11:10:00+00:00
1783682100000,2570101906.0983,7164754.8713,2026-07-10 11:15:00+00:00
1783682400000,2569480423.0734,8244892.0153,2026-07-10 11:20:00+00:00
1783682700000,2568260139.1587,12374781.6287,2026-07-10 11:25:00+00:00
1783683000000,2568882122.0325,7957587.4482,2026-07-10 11:30:00+00:00
1783683300000,2569999696.3157,10523609.0971,2026-07-10 11:35:00+00:00
1783683600000,2568227069.0443,17435443.6435,2026-07-10 11:40:00+00:00
1783683900000,2568027021.2212,8068006.541,2026-07-10 11:45:00+00:00
1783684200000,2567444855.5369,13706729.7814,2026-07-10 11:50:00+00:00
1783684500000,2568337951.6053,11090305.748,2026-07-10 11:55:00+00:00
1783684800000,2568776889.0791,3767515.3651,2026-07-10 12:00:00+00:00
1783685100000,2568536912.1291,8232085.4417,2026-07-10 12:05:00+00:00
1783685400000,2566629707.4772,13045193.8265,2026-07-10 12:10:00+00:00
1783685700000,2571911642.3838,116750473.9651,2026-07-10 12:15:00+00:00
1783686000000,2574571307.9634,27354060.3921,2026-07-10 12:20:00+00:00
1783686300000,2572873980.2266,13845520.495,2026-07-10 12:25:00+00:00
1783686600000,2572368824.8355,10964979.835,2026-07-10 12:30:00+00:00
1783686900000,2568699900.2338,21858607.6145,2026-07-10 12:35:00+00:00
1783687200000,2564064275.9052,22615040.1259,2026-07-10 12:40:00+00:00
1783687500000,2560387642.8919,16392643.8307,2026-07-10 12:45:00+00:00
1783687800000,2560511617.1065,11286187.732,2026-07-10 12:50:00+00:00
1783688100000,2559056699.5666,17096037.3235,2026-07-10 12:55:00+00:00
1783688400000,2555672834.6545,19018616.5306,2026-07-10 13:00:00+00:00
1783688700000,2556780897.3277,13144479.5669,2026-07-10 13:05:00+00:00
1783689000000,2556295285.3575,8088556.0021,2026-07-10 13:10:00+00:00
1783689300000,2553425626.4833,15114218.2395,2026-07-10 13:15:00+00:00
1783689600000,2549046349.959,20253033.0657,2026-07-10 13:20:00+00:00
1783689900000,2544629095.2787,19319743.1458,2026-07-10 13:25:00+00:00
1783690200000,2544629095.2787,34547168.8745,2026-07-10 13:30:00+00:00
1783690500000,2539966577.6138,44658155.7795,2026-07-10 13:35:00+00:00
1783690800000,2542886829.8842,28357170.8231,2026-07-10 13:40:00+00:00
1783691100000,2545604254.9732,34429324.0612,2026-07-10 13:45:00+00:00
1783691400000,2545759953.9449,44951771.3172,2026-07-10 13:50:00+00:00
1783691700000,2542567028.8134,101170682.2017,2026-07-10 13:55:00+00:00
1783692000000,2543778855.4541,27274848.9178,2026-07-10 14:00:00+00:00
1783692300000,2543535275.7338,27200706.1465,2026-07-10 14:05:00+00:00
1783692600000,2544870827.0233,31958496.0075,2026-07-10 14:10:00+00:00
1783692900000,2544607350.373,28551631.5099,2026-07-10 14:15:00+00:00
1783693200000,2535237549.8247,52893871.8106,2026-07-10 14:20:00+00:00
1783693500000,2530373319.1847,75707071.5102,2026-07-10 14:25:00+00:00
1783693800000,2534730838.8865,38425360.8067,2026-07-10 14:30:00+00:00
1783694100000,2534730838.8865,179766492.6742,2026-07-10 14:35:00+00:00
1783694400000,2521746443.7769,41198509.6981,2026-07-10 14:40:00+00:00
1783694700000,2525039844.9647,25133559.8119,2026-07-10 14:45:00+00:00
1783695000000,2528318280.0982,16391603.7714,2026-07-10 14:50:00+00:00
1783695300000,2526498431.6102,24141441.514,2026-07-10 14:55:00+00:00
1783695600000,2528220689.4849,33617991.1447,2026-07-10 15:00:00+00:00
1783695900000,2530723352.3716,30843517.8488,2026-07-10 15:05:00+00:00
1783696200000,2530922285.5886,23406863.1429,2026-07-10 15:10:00+00:00
1783696500000,2531174525.1045,10811015.127,2026-07-10 15:15:00+00:00
1783696800000,2527878757.0837,30570627.4111,2026-07-10 15:20:00+00:00
1783697100000,2534032247.161,18926654.2209,2026-07-10 15:25:00+00:00
1783697400000,2531752678.417,15975366.6946,2026-07-10 15:30:00+00:00
1783697700000,2533605922.6399,12955438.5149,2026-07-10 15:35:00+00:00
1783698000000,2532883391.1357,13261449.5008,2026-07-10 15:40:00+00:00
1783698300000,2531069638.7295,13231668.8494,2026-07-10 15:45:00+00:00
1783698600000,2532142504.6304,11693033.5133,2026-07-10 15:50:00+00:00
1783698900000,2532099914.2614,7423605.3738,2026-07-10 15:55:00+00:00
1783699200000,2532099914.2614,14750648.2482,2026-07-10 16:00:00+00:00
1783699500000,2529566166.9458,20299424.3014,2026-07-10 16:05:00+00:00
1783699800000,2533611299.6899,22807808.8506,2026-07-10 16:10:00+00:00
1783700100000,2533211042.8256,13410702.4496,2026-07-10 16:15:00+00:00
1783700400000,2534530407.5569,17467753.6264,2026-07-10 16:20:00+00:00
1783700700000,2534193250.6048,10298203.0449,2026-07-10 16:25:00+00:00
1783701000000,2534295929.3625,7403515.1299,2026-07-10 16:30:00+00:00
1783701300000,2534989483.7851,8378461.7841,2026-07-10 16:35:00+00:00
1783701600000,2526002551.4937,40964881.5224,2026-07-10 16:40:00+00:00
1783701900000,2526054746.7563,11013156.1117,2026-07-10 16:45:00+00:00
1783702200000,2526839049.8909,6010770.0722,2026-07-10 16:50:00+00:00
1783702500000,2526506892.1629,20072929.3885,2026-07-10 16:55:00+00:00
1783702800000,2525159098.4092,30260606.3054,2026-07-10 17:00:00+00:00
1783703100000,2525860450.0013,9971089.6958,2026-07-10 17:05:00+00:00
1783703400000,2525128769.9828,7959116.9025,2026-07-10 17:10:00+00:00
