ts,funding_rate,realized_rate,datetime_utc
1782000000000,-8.8262165972e-06,-8.8262165972e-06,2026-06-21 00:00:00+00:00
1782028800000,-1.4922291748e-05,-1.4922291748e-05,2026-06-21 08:00:00+00:00
1782057600000,-1.19152252366e-05,-1.19152252366e-05,2026-06-21 16:00:00+00:00
1782086400000,-2.88482815558e-05,-2.88482815558e-05,2026-06-22 00:00:00+00:00
1782115200000,2.87541037749e-05,2.87541037749e-05,2026-06-22 08:00:00+00:00
1782144000000,4.14573501689e-05,4.14573501689e-05,2026-06-22 16:00:00+00:00
1782172800000,4.86570053437e-05,4.86570053437e-05,2026-06-23 00:00:00+00:00
1782201600000,1.06301812452e-05,1.06301812452e-05,2026-06-23 08:00:00+00:00
1782230400000,2.75155316918e-05,2.75155316918e-05,2026-06-23 16:00:00+00:00
1782259200000,2.59855577951e-05,2.59855577951e-05,2026-06-24 00:00:00+00:00
1782288000000,8.32808229693e-05,8.32808229693e-05,2026-06-24 08:00:00+00:00
1782316800000,4.32526539971e-05,4.32526539971e-05,2026-06-24 16:00:00+00:00
1782345600000,-4.59301184219e-05,-4.59301184219e-05,2026-06-25 00:00:00+00:00
1782374400000,-7.79943959298e-05,-7.79943959298e-05,2026-06-25 08:00:00+00:00
1782403200000,-3.44282240539e-05,-3.44282240539e-05,2026-06-25 16:00:00+00:00
1782432000000,1.3441848992e-06,1.3441848992e-06,2026-06-26 00:00:00+00:00
1782460800000,9.6635297061e-06,9.6635297061e-06,2026-06-26 08:00:00+00:00
1782489600000,8.20729542149e-05,8.20729542149e-05,2026-06-26 16:00:00+00:00
1782518400000,4.06267603842e-05,4.06267603842e-05,2026-06-27 00:00:00+00:00
1782547200000,5.0548856273e-05,5.0548856273e-05,2026-06-27 08:00:00+00:00
1782576000000,3.22701928586e-05,3.22701928586e-05,2026-06-27 16:00:00+00:00
1782604800000,4.02316180587e-05,4.02316180587e-05,2026-06-28 00:00:00+00:00
1782633600000,3.19959525751e-05,3.19959525751e-05,2026-06-28 08:00:00+00:00
1782662400000,3.95436281002e-05,3.95436281002e-05,2026-06-28 16:00:00+00:00
1782691200000,4.6598340778e-06,4.6598340778e-06,2026-06-29 00:00:00+00:00
1782720000000,5.03634854124e-05,5.03634854124e-05,2026-06-29 08:00:00+00:00
1782748800000,7.17956019909e-05,7.17956019909e-05,2026-06-29 16:00:00+00:00
1782777600000,8.45798622754e-05,8.45798622754e-05,2026-06-30 00:00:00+00:00
1782806400000,5.21934781504e-05,5.21934781504e-05,2026-06-30 08:00:00+00:00
1782835200000,6.41177716092e-05,6.41177716092e-05,2026-06-30 16:00:00+00:00
1782864000000,4.77134731687e-05,4.77134731687e-05,2026-07-01 00:00:00+00:00
1782892800000,1.30447729281e-05,1.30447729281e-05,2026-07-01 08:00:00+00:00
1782921600000,3.76950039265e-05,3.76950039265e-05,2026-07-01 16:00:00+00:00
1782950400000,9.0342275479e-05,9.0342275479e-05,2026-07-02 00:00:00+00:00
1782979200000,0.0001,0.0001,2026-07-02 08:00:00+00:00
1783008000000,3.11543020607e-05,3.11543020607e-05,2026-07-02 16:00:00+00:00
1783036800000,0.0001,0.0001,2026-07-03 00:00:00+00:00
1783065600000,0.0001,0.0001,2026-07-03 08:00:00+00:00
1783094400000,5.38283058701e-05,5.38283058701e-05,2026-07-03 16:00:00+00:00
1783123200000,4.07757884118e-05,4.07757884118e-05,2026-07-04 00:00:00+00:00
1783152000000,6.08954397873e-05,6.08954397873e-05,2026-07-04 08:00:00+00:00
1783180800000,6.44399138913e-05,6.44399138913e-05,2026-07-04 16:00:00+00:00
1783209600000,0.0001,0.0001,2026-07-05 00:00:00+00:00
1783238400000,7.36099190415e-05,7.36099190415e-05,2026-07-05 08:00:00+00:00
