tradeId,ts,px,sz,side,datetime_utc
4082837184,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837183,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837182,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837181,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837180,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837179,1783784240883,1816.0,0.03,buy,2026-07-11 15:37:20.883000+00:00
4082837178,1783784240883,1816.0,0.06,buy,2026-07-11 15:37:20.883000+00:00
4082837177,1783784240883,1816.0,0.03,buy,2026-07-11 15:37:20.883000+00:00
4082837176,1783784240883,1816.0,0.5,buy,2026-07-11 15:37:20.883000+00:00
4082837175,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837174,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837173,1783784240883,1816.0,1.52,buy,2026-07-11 15:37:20.883000+00:00
4082837172,1783784240883,1816.0,0.09,buy,2026-07-11 15:37:20.883000+00:00
4082837171,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837170,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837169,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837168,1783784240883,1816.0,0.08,buy,2026-07-11 15:37:20.883000+00:00
4082837167,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837166,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837165,1783784240883,1816.0,0.52,buy,2026-07-11 15:37:20.883000+00:00
4082837164,1783784240883,1816.0,0.08,buy,2026-07-11 15:37:20.883000+00:00
4082837163,1783784240883,1816.0,0.53,buy,2026-07-11 15:37:20.883000+00:00
4082837162,1783784240883,1816.0,0.17,buy,2026-07-11 15:37:20.883000+00:00
4082837161,1783784240883,1816.0,0.73,buy,2026-07-11 15:37:20.883000+00:00
4082837160,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837159,1783784240883,1816.0,0.02,buy,2026-07-11 15:37:20.883000+00:00
4082837158,1783784240883,1816.0,0.08,buy,2026-07-11 15:37:20.883000+00:00
4082837157,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837156,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837155,1783784240883,1816.0,0.04,buy,2026-07-11 15:37:20.883000+00:00
4082837154,1783784240883,1816.0,0.01,buy,2026-07-11 15:37:20.883000+00:00
4082837153,1783784240883,1816.0,0.04,buy,2026-07-11 15:37:20.883000+00:00
4082837152,1783784240883,1816.0,0.04,buy,2026-07-11 15:37:20.883000+00:00
