ts,best_bid,best_ask,mid,spread_pct,bid_usd,ask_usd,imbalance,microprice,bids_json,asks_json
1783784965002,64036.6,64036.7,64036.65,0.0001561605736692,25136205.69,27635681.867,-0.0473637819814624,64036.63516486933,"[[64036.6, 226.3], [64036.5, 112.83], [64036.4, 4.25], [64036.3, 0.01], [64036.2, 0.01], [64035.8, 0.01], [64035.4, 0.03], [64035.3, 0.03], [64035.2, 49.05], [64035.1, 0.01]]","[[64036.7, 417.24], [64036.8, 12.01], [64037.1, 0.32], [64037.3, 0.31], [64037.4, 0.33], [64037.7, 0.32], [64037.8, 0.01], [64038.0, 0.32], [64038.3, 0.69], [64038.5, 0.01]]"
1783784968752,64031.9,64032.0,64031.95,0.0001561720359891,14405251.692,26942873.354,-0.3032210444379722,64031.94217788627,"[[64031.9, 209.08], [64031.8, 0.01], [64031.7, 0.02], [64031.6, 15.78], [64031.5, 0.01], [64030.7, 0.01], [64030.6, 0.01], [64030.5, 0.01], [64030.4, 0.01], [64030.1, 0.03]]","[[64032.0, 286.63], [64032.1, 0.01], [64032.2, 0.01], [64032.3, 0.14], [64032.4, 71.41], [64033.2, 0.01], [64033.4, 0.01], [64033.5, 0.02], [64033.6, 62.52], [64033.7, 0.01]]"
1783785030602,64004.5,64004.6,64004.55,0.00015623889238897048,37359417.519,6971396.909,0.685483021282065,64004.585530536744,"[[64004.5, 557.24], [64004.4, 0.12], [64004.3, 0.01], [64004.2, 25.0], [64003.9, 0.01], [64003.6, 0.22], [64003.5, 0.04], [64003.4, 0.02], [64003.3, 0.01], [64003.2, 1.03]]","[[64004.6, 94.27], [64004.7, 0.02], [64004.9, 0.02], [64005.0, 3.26], [64005.5, 0.03], [64005.6, 3.26], [64005.7, 0.01], [64005.9, 0.04], [64006.0, 8.0], [64006.1, 0.01]]"
1783785033352,64014.4,64014.5,64014.45,0.00015621472964079955,105419316.392,676634.861,0.9872448504771596,64014.499826796586,"[[64014.4, 1198.82], [64014.3, 3.92], [64014.2, 81.28], [64014.1, 0.01], [64014.0, 26.04], [64013.9, 26.03], [64013.8, 199.16], [64013.7, 111.53], [64013.3, 0.01], [64013.2, 0.01]]","[[64014.5, 2.08], [64014.6, 8.01], [64014.8, 0.01], [64015.0, 0.01], [64015.4, 0.01], [64016.0, 0.01], [64016.2, 0.4], [64016.3, 0.01], [64016.6, 0.01], [64016.7, 0.02]]"
1783785037102,64018.1,64018.2,64018.149999999994,0.00015620570103719777,135653497.217,1120342.182,0.9836175954857607,64018.19966028539,"[[64018.1, 1463.89], [64018.0, 81.29], [64017.0, 0.01], [64016.9, 116.74], [64016.8, 271.69], [64016.7, 89.65], [64016.0, 0.02], [64015.8, 0.01], [64015.7, 95.69], [64015.4, 0.01]]","[[64018.2, 4.99], [64018.3, 0.01], [64019.5, 0.01], [64019.7, 0.11], [64019.8, 0.01], [64019.9, 4.22], [64020.1, 0.02], [64020.2, 8.0], [64020.3, 0.11], [64020.4, 0.02]]"
1783785039902,64024.7,64024.8,64024.75,0.00015618959856277575,115330873.01399998,12516217.454,0.8042001987189096,64024.79006635278,"[[64024.7, 1729.31], [64024.6, 16.64], [64024.5, 1.01], [64024.4, 43.07], [64024.3, 10.34], [64023.9, 0.32], [64023.2, 0.01], [64023.1, 0.32], [64023.0, 0.01], [64022.8, 0.32]]","[[64024.8, 190.73], [64024.9, 0.12], [64025.3, 0.09], [64025.6, 0.01], [64026.0, 0.09], [64026.1, 0.01], [64026.3, 0.01], [64026.4, 0.4], [64026.8, 0.02], [64026.9, 4.01]]"
1783785042602,64029.4,64029.5,64029.45,0.00015617813365341232,31743821.285,22230452.027,0.17625747739126876,64029.460250853444,"[[64029.4, 471.24], [64029.3, 0.01], [64028.8, 0.01], [64028.1, 0.03], [64028.0, 24.43], [64027.9, 0.01], [64027.4, 0.01], [64027.3, 0.01], [64027.2, 0.01], [64026.7, 0.01]]","[[64029.5, 310.89], [64029.6, 0.53], [64030.0, 0.06], [64030.2, 0.01], [64030.5, 0.02], [64030.6, 0.48], [64030.8, 0.03], [64030.9, 35.15], [64031.2, 0.01], [64031.3, 0.01]]"
1783785048452,64020.3,64020.4,64020.350000000006,0.00015620033317303764,31164977.750000004,25357851.624999996,0.10273948047562698,64020.34044732377,"[[64020.3, 262.22], [64020.2, 0.02], [64020.1, 73.72], [64020.0, 77.02], [64019.8, 0.02], [64019.5, 0.02], [64019.4, 73.75], [64019.2, 0.01], [64019.1, 0.01], [64018.9, 0.01]]","[[64020.4, 386.08], [64020.5, 0.27], [64020.6, 0.32], [64020.9, 0.03], [64021.2, 0.44], [64021.5, 0.03], [64021.6, 8.0], [64021.7, 0.02], [64021.8, 0.78], [64021.9, 0.12]]"
1783785051202,64020.3,64020.4,64020.350000000006,0.00015620033317303764,34530524.418,26444957.189999998,0.1326035812227053,64020.344883544705,"[[64020.3, 313.92], [64020.2, 0.02], [64020.1, 74.26], [64020.0, 77.02], [64019.8, 0.02], [64019.5, 0.02], [64019.4, 73.75], [64019.2, 0.02], [64019.1, 0.33], [64018.9, 0.01]]","[[64020.4, 385.49], [64020.5, 0.58], [64021.2, 0.12], [64021.4, 0.32], [64021.7, 0.01], [64021.8, 0.78], [64021.9, 0.14], [64022.0, 6.21], [64022.3, 0.03], [64022.4, 19.39]]"
1783785053952,64009.0,64009.1,64009.05,0.00015622790839505475,23377146.404000003,99976051.007,-0.6209721856481792,64009.01675038603,"[[64009.0, 257.1], [64008.9, 1.51], [64008.8, 0.01], [64008.2, 0.01], [64008.0, 0.02], [64007.9, 0.04], [64007.6, 0.01], [64007.4, 0.01], [64007.0, 33.5], [64006.9, 73.01]]","[[64009.1, 1277.79], [64009.2, 0.01], [64009.5, 0.31], [64009.6, 0.01], [64009.8, 154.0], [64009.9, 26.05], [64010.0, 26.05], [64010.1, 26.06], [64010.2, 25.02], [64010.3, 26.6]]"
